index,dataset,path,audio_duration,processing_time,rtf,ground_truth,model_id,phowhisper_transcription
0,dolly-vn/dolly-audio-1000h-vietnamese,a2257dc1-88ff-43f2-a9dc-6d8c533e7af3.wav,4.522666666666667,2.9213192489696667,0.645928489601194,"Ta không muốn vậy! Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất.",vinai/PhoWhisper-small,ta không muốn vậy họ tới dưới chân tòa tháp đứng trước cánh cổng vào duy nhất.
1,dolly-vn/dolly-audio-1000h-vietnamese,520aa164-6a34-4611-8c6d-c401a3a43b02.wav,2.112,0.17732730007264763,0.08396178980712482,Xe ra khỏi lối đi và bắt đầu leo dốc.,vinai/PhoWhisper-small,xe ra khỏi lối đi và bắt đầu leo dốc.
2,dolly-vn/dolly-audio-1000h-vietnamese,75b0ca7c-cf4c-4f3f-a11c-2bf0723e6991.wav,1.6106666666666667,0.16512495407368988,0.102519632082175,Tới bệnh viện chúng tôi bước vào.,vinai/PhoWhisper-small,tới bệnh viện chúng tôi bước vào.
3,dolly-vn/dolly-audio-1000h-vietnamese,607e02ea-dc2c-411e-a313-100c805191c6.wav,7.2,0.4369186010444537,0.0606831390339519,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt.",vinai/PhoWhisper-small,sự im ắng ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới vẫn vô cùng ngột ngạt.
4,dolly-vn/dolly-audio-1000h-vietnamese,71c1bcce-856c-4b90-9fb2-e30500f4fa20.wav,2.176,0.21260163898114115,0.09770295909059795,Họ lùi lại để trông cho rõ tòa tháp.,vinai/PhoWhisper-small,họ lùi lại để trông cho rõ tòa tháp.
5,dolly-vn/dolly-audio-1000h-vietnamese,03d68f29-0def-4c33-a86a-2025f6cee49a.wav,1.728,0.1198170289862901,0.0693385584411401,Sinh Vào Thời Loạn hai.,vinai/PhoWhisper-small,sinh vào thời loạn hai.
6,dolly-vn/dolly-audio-1000h-vietnamese,f401f7d2-0df4-46b0-8969-f78dbea4e59f.wav,10.72,0.757745768991299,0.07068523964471073,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là Bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Qadehar thú thực và chăm chú quan sát tòa tháp.",vinai/PhoWhisper-small,nhưng quả thực là có gì đó bất ổn cậu có nghĩ là bóng tối nghe thấy chúng ta đến và hắn đã trốn không giải pháp này cũng có thể lắm khai đê hà thú thực và chăm chú quan sát tòa tháp.
7,dolly-vn/dolly-audio-1000h-vietnamese,e281d8ea-bb7a-4be7-9b81-0f0119f123f2.wav,4.448,0.3816839799983427,0.08581024730178567,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng.",vinai/PhoWhisper-small,một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của kelly địa chỉ và tôn giáo của nàng.
8,dolly-vn/dolly-audio-1000h-vietnamese,b56ffe90-adb8-4e40-bacc-39fb16ff8cec.wav,1.248,0.12480389000847936,0.10000311699397384,Nửa Đêm Đến Viếng năm.,vinai/PhoWhisper-small,nửa đêm đến viếng năm.
9,dolly-vn/dolly-audio-1000h-vietnamese,bc915e72-b48e-42ef-8734-60dd19a83ec5.wav,3.6906666666666665,0.2762806509854272,0.07485928043319018,Nàng khai tên là Catherine Henry. Tôi sẽ đưa bà lên phòng Bà ta nói.,vinai/PhoWhisper-small,nàng khai tên là kerry henry tôi sẽ đưa bà lên phòng bà ta nói.
