index,dataset,path,audio_duration,ground_truth,gpt4o_transcription,processing_time,rtf
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.,2.233992199995555,1.0471838437479164
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,"Tuy nhiên, quá trình này không diễn ra lâu.","Tuy nhiên, quá trình này không diễn ra lâu.",0.6523296000668779,0.305779500031349
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chơi nước được làm bằng sứ.,0.6295250999974087,0.24590824218648777
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,Chứ đó. Đâu ra?,Đâu ra?,1.8230773000977933,1.6433990085016166
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,1.0298376999562606,0.33523362628784525
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,Bản báo cáo miêu tả tâm trạng.,Bản báo cáo miêu tả tâm trạng.,0.6118932999670506,0.31176628734734235
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.","Thuật ngữ bù sô, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",2.912062400020659,0.41115338855713374
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,Thì kết thúc này quen lắm.,Kết thúc này quen lắm.,0.6002771999919787,0.43965615233787503
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?,0.5871143999975175,0.4914462053550648
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.","Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",27.069118699990213,6.473800709500211
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.","Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng Bộ Chỉ huy Quân sự tỉnh.",17.648770799976774,3.9022930719288267
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.","Trong bầu không khí náo nhiệt của giả phát, hung thủ rút khẩu súng Derringer 44 ly dí sát đầu tổng thống mà nã đạn.",21.908653800026514,2.8847419856074237
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,"Một, một ngày hãy làm tốt vài điều mình muốn làm.","Mọt, một ngày hãy làm tốt vài điều mình muốn.",2.964684399892576,1.0218351562129742
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,"Kế hoạch là vậy, nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.",1.5116334999911487,0.3473422564317897
14,capleaf/viVoice,audio_557.88_564.72.wav,6.826666666666667,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,3.5101196999894455,0.5141776904281414
15,capleaf/viVoice,audio_10.42_14.32.wav,4.010666666666666,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,10.254667400033213,2.556848587109345
16,capleaf/viVoice,audio_626.96_628.54.wav,1.7066666666666668,Ám sát kẻ thù của quốc gia.,Áp sát kẻ thù của quốc gia.,3.0080290000187233,1.7625169921984705
17,capleaf/viVoice,audio_24.4_26.0.wav,1.792,Xếp trồi lên và gợi ý bạn.,Xếp tròi lên và gợi ý bạn.,2.470290399971418,1.3785102678411931
18,capleaf/viVoice,audio_125.82_129.28.wav,3.498666666666667,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,2.2593817999586463,0.6457836699576923
19,capleaf/viVoice,audio_685.62_690.78.wav,5.290666666666667,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.","Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",2.4687682000221685,0.46662705393564174
20,capleaf/viVoice,audio_2692.88_2694.36.wav,1.536,Mà bước chân bối rối.,Mà bước chân bối rối.,0.6511878001037985,0.4239503906925772
21,capleaf/viVoice,audio_1051.98_1053.22.wav,1.3653333333333333,Bảo đi chơi cũng không.,Bảo đi chơi cũng không?,2.0752002000808716,1.5199220215436071
