index,dataset,path,audio_duration,processing_time,rtf,ground_truth,google_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,2.0215379999717698,0.9475959374867671,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,1.840459799976088,0.8627155312387913,"Tuy nhiên, quá trình này không diễn ra lâu.","Tuy nhiên, quá trình này không diễn ra lâu."
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,1.712700100033544,0.6690234765756031,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ.
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,1.7028284999541938,1.5350016526029393,Chứ đó. Đâu ra?,chưa đó đầu ra
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,1.9585214999970049,0.637539550780275,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,1.6565668999683112,0.8440388416958108,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,2.6412647999823093,0.37291954066015287,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",Thuật ngữ Musou xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,1.542934799916111,1.1300791991573078,Thì kết thúc này quen lắm.,Cái kết thúc này quen lắm.
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,1.6646698999684304,1.3934178850182173,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,2.0153096999274567,0.48197776624540584,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.","Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn."
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,2.1565884000156075,0.47684000589967734,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.","Đại tá Trần Đình Hưng, Phó chỉ huy trưởng, tham mưu trưởng Bộ chỉ huy quân sự tỉnh."
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,2.8847194999689236,0.3798349060703463,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.","Trong bầu không khí náo nhiệt của rạp hát, hung thủ rút khẩu súng Derringer 44 ly dí sát đầu tổng thống mà nã đạn."
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,1.7068022000603378,0.5882820082928554,"Một, một ngày hãy làm tốt vài điều mình muốn làm.","Một, một ngày hãy làm tốt vài điều mình muốn làm."
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,1.6196050000144169,0.37215188419448914,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,"Kế hoạch là vậy, nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch."
14,capleaf/viVoice,audio_557.88_564.72.wav,6.826666666666667,2.611703100032173,0.38257369629377536,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.
15,capleaf/viVoice,audio_10.42_14.32.wav,4.010666666666666,2.033476500073448,0.5070170794731004,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.
16,capleaf/viVoice,audio_626.96_628.54.wav,1.7066666666666668,1.9485101000173017,1.1417051367288877,Ám sát kẻ thù của quốc gia.,ám sát kẻ thù của quốc gia
17,capleaf/viVoice,audio_24.4_26.0.wav,1.792,1.6661358000710607,0.9297632812896544,Xếp trồi lên và gợi ý bạn.,Sếp trồi lên và gợi ý bạn.
18,capleaf/viVoice,audio_125.82_129.28.wav,3.498666666666667,1.4205543999560177,0.4060273627923069,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.
19,capleaf/viVoice,audio_685.62_690.78.wav,5.290666666666667,2.3986391000216827,0.4533718056996628,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",Hãy gạt bỏ chúng qua hẳn một bên rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.
20,capleaf/viVoice,audio_2692.88_2694.36.wav,1.536,1.4685988000128418,0.9561190104250272,Mà bước chân bối rối.,bằng bước chân bối rối
21,capleaf/viVoice,audio_1051.98_1053.22.wav,1.3653333333333333,1.601764400023967,1.173167285173804,Bảo đi chơi cũng không.,Bảo đi chơi cũng không.
22,capleaf/viVoice,audio_184.32_189.26.wav,4.949333333333334,2.131542499992065,0.43067264951348294,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",Đầu tiên là do đồng yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu.
