index,dataset,path,audio_duration,ground_truth,whisper_transcription,processing_time,rtf
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.,15.188456199946813,7.119588843725069
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,"Tuy nhiên, quá trình này không diễn ra lâu.","Tuy nhiên, quá trình này không giữ ra lâu.",0.6449271000456065,0.30230957814637804
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kẹn chim nước được làm bằng sứ.,0.6597164999693632,0.2577017578005325
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,Chứ đó. Đâu ra?,Chứ đó đâu rồi à?,57.203244899981655,51.5654250901277
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Như vì một lý do nào đó mà Nina đã block đuồn người yêu cũ.,0.9244527999544516,0.30092864581850637
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,Bản báo cáo miêu tả tâm trạng.,Bản báo cáo miêu tả tâm trạng.,0.7559529000427574,0.3851662194511332
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.","Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",57.395104600000195,8.10360098832834
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,Thì kết thúc này quen lắm.,Kết thúc này quen lắm,0.5586689999327064,0.40918139643508766
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?,0.5436349000083283,0.45505153460518544
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.","Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",90.67518559994642,21.685710841823923
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.","Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham hưu trưởng, Bộ Chỉ huy quân sự tỉnh.",31.54519309999887,6.9749100309549386
