index,dataset,path,audio_duration,processing_time,rtf,ground_truth,google_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,2.624283605022356,1.2301329398542293,Và mọi chuyện thì chưa dừng lại ở đó.,và mọi chuyện thì chưa dừng lại ở đó
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,2.5018338290101383,1.1727346073485023,"Tuy nhiên, quá trình này không diễn ra lâu.",tuy nhiên quá trình này không diễn ra lâu
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,2.4671266459918115,0.9637213460905514,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,2.2650090040115174,2.041774943519998,Chứ đó. Đâu ra?,chưa đâu đầu ra
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,2.7256856419844553,0.8872674615834816,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,2.4786113890004344,1.2628794441238627,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,3.9915690000052564,0.5635686652868868,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",thuật ngữ musou xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,2.0191633210051805,1.4788793855018412,Thì kết thúc này quen lắm.,cái kết thúc này quen lắm
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,2.2105994209996425,1.8503901403456826,Cậu có nhìn thấy không?,cậu có nhìn thấy không
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,1.9158900030015502,0.45820073413621265,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,2.7513565880071837,0.6083483021831921,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",Đại tá trần Đình hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,4.870257203991059,0.6412733326884295,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.",trong bầu không khí náo nhiệt của giải phát hung thủ rút khẩu súng derringer 44 ly dí sát đầu tổng thống mà ná đại
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,1.8183167410024907,0.6267176267242041,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",một một ngày hãy làm tốt vài điều mình muốn làm
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,2.860142944002291,0.6572019632358206,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,kế hoạch là vậy nhưng cả pháp lẫn tây ban nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch
