index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,2.9936278420500457,1.403263050960959,Và mọi chuyện thì chưa dừng lại ở đó.,gemini-2.5-flash,và mọi chuyện thì chưa dừng lại ở đó
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,4.169661944964901,1.9545290367022972,"Tuy nhiên, quá trình này không diễn ra lâu.",gemini-2.5-flash,Tuy nhiên quá trình này không diễn ra lâu.
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,2.6620609880192205,1.039867573445008,Đây là những chiếc kẹn chim nước được làm bằng sứ.,gemini-2.5-flash,Đây là những chiếc kèn chim nước được làm bằng sừng.
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,2.6826639480423182,2.4182667800862245,Chứ đó. Đâu ra?,gemini-2.5-flash,Chưa đâu bạn
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,2.7901466310722753,0.9082508564688396,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,gemini-2.5-flash,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,3.9043304009828717,1.9892987776746969,Bản báo cáo miêu tả tâm trạng.,gemini-2.5-flash,Bản báo cáo miêu tả tình trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,2.4996423800475895,0.3529239053154541,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",gemini-2.5-flash,Thuật ngữ Musou xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,2.6958668059669435,1.97451182077657,Thì kết thúc này quen lắm.,gemini-2.5-flash,Kết thúc này quen lắm
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,3.738111734041013,3.1289997773780795,Cậu có nhìn thấy không?,gemini-2.5-flash,Cậu có nhìn không?
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,2.8843805179931223,0.6898231468414675,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",gemini-2.5-flash,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn."
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,4.826985180960037,1.0672874073467062,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",gemini-2.5-flash,"Đại tá Trần Đình Hưng, Phó chỉ huy trưởng, Tham mưu trưởng Bộ chỉ huy quân sự tỉnh."
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,2.9349738429300487,0.38645196316670233,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.",gemini-2.5-flash,"Trong bầu không khí náo nhiệt của rạp hát, hung thủ rút khẩu súng Derringer 44 ly, dí sát đầu tổng thống và nã đạn."
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,3.199201931944117,1.1026661070579447,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",gemini-2.5-flash,Một một ngày hãy làm tốt vài điều mình muốn.
