index,dataset,path,audio_duration,processing_time,rtf,ground_truth,google_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,2.063968811999075,0.9674853806245663,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,1.8751255050010516,0.8789650804692428,"Tuy nhiên, quá trình này không diễn ra lâu.","Tuy nhiên, quá trình này không diễn ra lâu."
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,2.2980968880001456,0.8976940968750569,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ.
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,1.7706135750049723,1.5961059870838097,Chứ đó. Đâu ra?,chưa đó đầu ra
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,1.970367719011847,0.6413957418658356,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666663,1.812011396017624,0.9232395020470232,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,2.925435468991054,0.4130415289426375,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",Thuật ngữ Musou xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,1.575020031974418,1.1535791249812632,Thì kết thúc này quen lắm.,Cái kết thúc này quen lắm.
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,1.825009122985648,1.5276304042848614,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,2.206194961996516,0.5276295349162587,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.","Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn."
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,2.279868303012336,0.5040982391684115,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.","Đại tá Trần Đình Hưng, Phó chỉ huy trưởng, tham mưu trưởng Bộ chỉ huy quân sự tỉnh."
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,2.833102973003406,0.3730384883694794,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.","Trong bầu không khí náo nhiệt của rạp hát, hung thủ rút khẩu súng Derringer 44 ly dí sát đầu tổng thống mà nã đạn."
12,capleaf/viVoice,audio_209.47_212.13.wav,2.901333333333333,1.895806815009564,0.6534260621586273,"Một, một ngày hãy làm tốt vài điều mình muốn làm.","Một, một ngày hãy làm tốt vài điều mình muốn làm."
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,2.149931171006756,0.4940099198085376,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,"Kế hoạch là vậy, nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch."
14,capleaf/viVoice,audio_557.88_564.72.wav,6.826666666666667,2.802139648003504,0.4104696750005132,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.
15,capleaf/viVoice,audio_10.42_14.32.wav,4.010666666666666,2.2323822120088157,0.5566112563186874,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.
